source,destination,distance,avg(dd.avgdelay)
planetlab1.cs.uml.edu,75-130-96-12.static.oxfr.ma.charter.com,36.0409,10
planetlab1.cs.uml.edu,planetlab-01.vt.nodes.planet-lab.org,610.549,24
planetlab3.eecs.umich.edu,planetlab-01.vt.nodes.planet-lab.org,392.826,35
planetlabtwo.ccs.neu.edu,planetlab-01.vt.nodes.planet-lab.org,612.177,39
planetlab3.wail.wisc.edu,planetlab-01.vt.nodes.planet-lab.org,623.239,39
planetlabone.ccs.neu.edu,planetlab-01.vt.nodes.planet-lab.org,612.177,39
pl3.cs.unm.edu,75-130-96-12.static.oxfr.ma.charter.com,1929.31,56
planetlab02.cs.washington.edu,75-130-96-12.static.oxfr.ma.charter.com,2452.48,74
planetlab1.arizona-gigapop.net,75-130-96-12.static.oxfr.ma.charter.com,2239.32,74
planetlab02.cs.washington.edu,planetlab-01.vt.nodes.planet-lab.org,2224.59,80
planetlab2.cs.uoregon.edu,75-130-96-12.static.oxfr.ma.charter.com,2543.96,80
planetlab4.cs.uoregon.edu,75-130-96-12.static.oxfr.ma.charter.com,2543.96,80
planetlab2.unr.edu,planetlab-01.vt.nodes.planet-lab.org,2123.48,81
planetlab1.unr.edu,planetlab-01.vt.nodes.planet-lab.org,2123.48,81
planetlab1.cs.ucla.edu,planetlab-01.vt.nodes.planet-lab.org,2132.24,83
planetlab3.ucsd.edu,75-130-96-12.static.oxfr.ma.charter.com,2539.12,88
pl2.cs.unm.edu,planetlab-01.vt.nodes.planet-lab.org,1466.68,93
planetlab2.cs.ucla.edu,75-130-96-12.static.oxfr.ma.charter.com,2562.54,95
planetlab1.cs.ucla.edu,75-130-96-12.static.oxfr.ma.charter.com,2562.54,96
planetlab3.cs.uoregon.edu,planetlab-01.vt.nodes.planet-lab.org,2259.72,99
planetlab2.cs.uoregon.edu,planetlab-01.vt.nodes.planet-lab.org,2259.72,99
planetlab4.cs.uoregon.edu,planetlab-01.vt.nodes.planet-lab.org,2259.72,99
pl1.cs.montana.edu,planetlab-01.vt.nodes.planet-lab.org,1678.85,101
planetlab2.cs.ucla.edu,planetlab-01.vt.nodes.planet-lab.org,2132.24,108
node1.planetlab.mathcs.emory.edu,planet3.cc.gt.atl.ga.us,4.22698,109.85714285714286
node2.planetlab.mathcs.emory.edu,planet3.cc.gt.atl.ga.us,4.22698,113.42857142857143
pl1.cs.montana.edu,75-130-96-12.static.oxfr.ma.charter.com,1945.63,116
planetlabone.ccs.neu.edu,75-130-96-12.static.oxfr.ma.charter.com,40.3915,121.71428571428571
planet3.cc.gt.atl.ga.us,node1.planetlab.mathcs.emory.edu,4.22698,123.21428571428571
planet3.cc.gt.atl.ga.us,node2.planetlab.mathcs.emory.edu,4.22698,124.64285714285714
planetlabtwo.ccs.neu.edu,75-130-96-12.static.oxfr.ma.charter.com,40.3915,129.14285714285714
planetlabtwo.ccs.neu.edu,planetlab1.cs.uml.edu,24.7867,148.57142857142858
planetlab2.cs.uoregon.edu,planetlab01.cs.washington.edu,252.225,195.85714285714286
planetlab4.cs.uoregon.edu,planetlab01.cs.washington.edu,252.225,196.5
planetlab4.cs.uoregon.edu,planetlab02.cs.washington.edu,252.225,198.83333333333334
planetlab2.cs.uoregon.edu,planetlab02.cs.washington.edu,252.225,205.28571428571428
planetlab01.cs.washington.edu,planetlab3.cs.uoregon.edu,252.225,212.85714285714286
pl3.cs.unm.edu,planetlab2.temple.edu,1749.1,228
75-130-96-12.static.oxfr.ma.charter.com,planetlabtwo.ccs.neu.edu,40.3915,234.42857142857142
planetlabone.ccs.neu.edu,planetlab1.cs.uml.edu,24.7867,234.85714285714286
pl3.cs.unm.edu,planetlab-01.vt.nodes.planet-lab.org,1466.68,250.5
node1.planetlab.mathcs.emory.edu,planetlab01.cs.washington.edu,2179.38,258
planetlab3.cs.uoregon.edu,planetlab01.cs.washington.edu,252.225,258.2857142857143
planetlab3.cs.uoregon.edu,planetlab02.cs.washington.edu,252.225,265.85714285714283
planetlabone.ccs.neu.edu,planetlab2.temple.edu,270.723,279
planetlab2.cs.pitt.edu,planetlab2.arizona-gigapop.net,1800.93,280
planetlab01.cs.washington.edu,planetlab1.temple.edu,2371.56,282
planetlab01.cs.washington.edu,planetlab2.cs.uoregon.edu,252.225,283
planetlab1.cs.ucla.edu,node2.planetlab.mathcs.emory.edu,1946.8,284
planetlab02.cs.washington.edu,planetlab2.cs.uoregon.edu,252.225,286.57142857142856
planetlab1.cs.unc.edu,planetlab1.arizona-gigapop.net,1835.61,288
planetlab1.unr.edu,75-130-96-12.static.oxfr.ma.charter.com,2480.67,288.6666666666667
planetlab1.arizona-gigapop.net,planetlab-01.vt.nodes.planet-lab.org,1759.98,300.25
planetlab2.unr.edu,75-130-96-12.static.oxfr.ma.charter.com,2480.67,303.42857142857144
planetlab4.cs.uoregon.edu,planetlab3.wail.wisc.edu,1675.66,305
planetlab3.cs.uoregon.edu,planetlab3.wail.wisc.edu,1675.66,308.5
node2.planetlab.mathcs.emory.edu,planetlab1.cnis.nyit.edu,762.242,309
planetlab1.unr.edu,salt.planetlab.cs.umd.edu,2271.58,309
planetlab2.uta.edu,planetlab4.cs.uoregon.edu,1598.03,310
pl3.cs.unm.edu,planetlab1.temple.edu,1749.1,310
planetlab2.cs.ucla.edu,node2.planetlab.mathcs.emory.edu,1946.8,312
planetlabone.ccs.neu.edu,planetlab2.arizona-gigapop.net,2279.57,313
pl1.cs.montana.edu,planetlab3.ucsd.edu,942.925,314
node2.planetlab.mathcs.emory.edu,planetlab2.cs.ucla.edu,1946.8,315.5
75-130-96-12.static.oxfr.ma.charter.com,planetlabone.ccs.neu.edu,40.3915,317
planetlab01.cs.washington.edu,planetlab4.cs.uoregon.edu,252.225,317.57142857142856
planetlab2.citadel.edu,planetlab1.ucsd.edu,2152.52,318
planetlabtwo.ccs.neu.edu,planetlab02.cs.washington.edu,2485.17,319
pl2.cs.unm.edu,75-130-96-12.static.oxfr.ma.charter.com,1929.31,322.8
planetlabone.ccs.neu.edu,planetlab1.unr.edu,2518.17,323.6666666666667
planetlab2.arizona-gigapop.net,planetlab-01.vt.nodes.planet-lab.org,1759.98,324.5
node2.planetlab.mathcs.emory.edu,planetlab1.cs.ucla.edu,1946.8,325
planetlab3.ucsd.edu,planetlab1.cs.ucla.edu,107.845,326
node1.planetlab.mathcs.emory.edu,planetlab2.cs.ucla.edu,1946.8,327
planetlab3.cnds.jhu.edu,planetlab1.unr.edu,2283.47,327.5
node2.planetlab.mathcs.emory.edu,planetlab01.cs.washington.edu,2179.38,328.5
planet3.cc.gt.atl.ga.us,planetlab2.cs.ucla.edu,1942.88,330
planetlab2.cs.unc.edu,node2.planetlab.mathcs.emory.edu,333.827,331
planetlabtwo.ccs.neu.edu,planetlab2.temple.edu,270.723,337.85714285714283
planetlab2.cs.unc.edu,node1.planetlab.mathcs.emory.edu,333.827,338
planetlab2.uta.edu,planetlab2.cs.uoregon.edu,1598.03,339
planetlab1.temple.edu,planetlab01.cs.washington.edu,2371.56,339
planetlab01.cs.washington.edu,node1.planetlab.mathcs.emory.edu,2179.38,340
planetlab2.unl.edu,planetlab2.cs.unc.edu,1010.64,340.5
planetlabtwo.ccs.neu.edu,planetlab1.unr.edu,2518.17,341
planetlab3.wail.wisc.edu,planetlab02.cs.washington.edu,1616.67,342
planetlab2.cs.du.edu,pl1.cs.montana.edu,516.104,343
planetlab1.arizona-gigapop.net,planetlab1.cs.unc.edu,1835.61,344
node1.planetlab.mathcs.emory.edu,planetlab02.cs.washington.edu,2179.38,345
planetlab1.arizona-gigapop.net,planetlab2.temple.edu,2053.47,349.6666666666667
node1.planetlab.mathcs.emory.edu,planetlab1.acis.ufl.edu,308.555,350
75-130-96-12.static.oxfr.ma.charter.com,planetlab2.unr.edu,2480.67,351.5
planet3.cc.gt.atl.ga.us,planetlab1.cs.ucla.edu,1942.88,353
planetlab5.csee.usf.edu,planetlab2.cnis.nyit.edu,1012.92,359
planetlab02.cs.washington.edu,node2.planetlab.mathcs.emory.edu,2179.38,360.3333333333333
planetlab5.csee.usf.edu,planetlab3.ucsd.edu,2090.82,361
planetlab2.cs.pitt.edu,planetlab01.cs.washington.edu,2137.39,362
planetlab5.csee.usf.edu,planetlab2.cs.ucla.edu,2160.94,362.5
planetlab5.csee.usf.edu,planetlab1.temple.edu,921.877,364
planetlab2.unr.edu,salt.planetlab.cs.umd.edu,2271.58,365.25
planetlab02.cs.washington.edu,planetlab4.cs.uoregon.edu,252.225,365.7142857142857
planetlab1.arizona-gigapop.net,planetlab3.wail.wisc.edu,1390.94,366.1666666666667
planetlab01.cs.washington.edu,node2.planetlab.mathcs.emory.edu,2179.38,366.3333333333333
planetlab02.cs.washington.edu,node1.planetlab.mathcs.emory.edu,2179.38,367
planetlab2.acis.ufl.edu,planetlab1.arizona-gigapop.net,1703.38,368
planetlab1.arizona-gigapop.net,planetlab3.cnds.jhu.edu,1973.98,371
planetlab1.arizona-gigapop.net,planetlab3.ucsd.edu,368.903,374
planetlab2.uta.edu,planetlab3.cs.uoregon.edu,1598.03,376.5
75-130-96-12.static.oxfr.ma.charter.com,planetlab1.unr.edu,2480.67,378
planetlab2.unl.edu,ebb.colgate.edu,1094.27,379
planetlab5.csee.usf.edu,planetlab2.temple.edu,921.877,381
pl1.cs.montana.edu,planetlab1.unr.edu,614.077,381
planetlab3.wail.wisc.edu,planetlab2.arizona-gigapop.net,1390.94,381.5
pl1.cs.montana.edu,planetlab2.unr.edu,614.077,382
planetlab2.unr.edu,planetlab1.temple.edu,2346.81,383
planetlabone.ccs.neu.edu,planetlab2.unr.edu,2518.17,389
planetlab1.temple.edu,salt.planetlab.cs.umd.edu,117.417,389.6
planetlab2.arizona-gigapop.net,planetlab3.wail.wisc.edu,1390.94,390.3333333333333
planetlab1.unr.edu,planetlab1.temple.edu,2346.81,391.6666666666667
planetlab1.arizona-gigapop.net,planetlab2.cs.du.edu,613.476,393
pl3.cs.unm.edu,planetlab1.cs.uml.edu,1955.47,397
planetlab-04.vt.nodes.planet-lab.org,planetlab1.arizona-gigapop.net,1759.98,398
planetlab1.cs.du.edu,ebb.colgate.edu,1536.1,398
planetlab2.arizona-gigapop.net,planetlab1.temple.edu,2053.47,403
planetlab1.unr.edu,planetlab2.temple.edu,2346.81,404
planetlab3.wail.wisc.edu,planetlab01.cs.washington.edu,1616.67,404
planetlab1.ucsd.edu,planet3.cc.gt.atl.ga.us,1888.91,407
planetlab2.unr.edu,pl1.cs.montana.edu,614.077,407.6666666666667
planetlab1.temple.edu,planetlab3.cnds.jhu.edu,88.9667,407.8333333333333
planetlab1.cs.du.edu,planetlab1.cs.ucla.edu,838.534,409
planetlab1.ucsd.edu,planetlab3.eecs.umich.edu,1932.73,409
planetlab3.ucsd.edu,planetlab3.eecs.umich.edu,1932.73,410
planetlab3.eecs.umich.edu,75-130-96-12.static.oxfr.ma.charter.com,607.964,410
planetlabtwo.ccs.neu.edu,planetlab2.cs.pitt.edu,487.539,410.5
planet3.cc.gt.atl.ga.us,planetlab2.cs.pitt.edu,509.245,411
planetlab1.arizona-gigapop.net,planetlab-04.vt.nodes.planet-lab.org,1759.98,413
planetlab1.unr.edu,pl1.cs.montana.edu,614.077,413
planetlab2.cs.du.edu,planetlab1.cs.ucla.edu,838.534,415
planetlab-01.vt.nodes.planet-lab.org,salt.planetlab.cs.umd.edu,225.227,418
planetlab02.cs.washington.edu,planetlab3.wail.wisc.edu,1616.67,420.5
planetlab3.eecs.umich.edu,planetlab1.ucsd.edu,1932.73,421.5
planetlab01.cs.washington.edu,planetlab3.wail.wisc.edu,1616.67,422.25
planetlab01.cs.washington.edu,planetlab-01.vt.nodes.planet-lab.org,2224.59,423
pl2.cs.unm.edu,node2.planetlab.mathcs.emory.edu,1272.71,423.6666666666667
planetlab1.arizona-gigapop.net,planetlab2.cs.unc.edu,1835.61,424
planetlab1.acis.ufl.edu,planetlab1.arizona-gigapop.net,1703.38,425
planetlab2.arizona-gigapop.net,planetlab1.cs.unc.edu,1835.61,426
planetlab-04.vt.nodes.planet-lab.org,planetlab2.arizona-gigapop.net,1759.98,426
planetlab1.arizona-gigapop.net,salt.planetlab.cs.umd.edu,1954.15,428
planetlab2.acis.ufl.edu,planetlab2.arizona-gigapop.net,1703.38,430
planetlab2.arizona-gigapop.net,salt.planetlab.cs.umd.edu,1954.15,430
planetlab1.temple.edu,planetlab1.unr.edu,2346.81,430
planetlab1.arizona-gigapop.net,planetlab1.cs.du.edu,613.476,430.75
node2.planetlab.mathcs.emory.edu,planetlab-01.vt.nodes.planet-lab.org,322.686,431.14285714285717
planetlab3.cnds.jhu.edu,planetlab2.arizona-gigapop.net,1973.98,432.5
planetlab1.cs.okstate.edu,planetlab2.cs.ucla.edu,1213.96,436
planetlab3.wail.wisc.edu,planetlab1.arizona-gigapop.net,1390.94,438
planet3.cc.gt.atl.ga.us,planetlab2.cs.unc.edu,337.891,441.25
planetlab02.cs.washington.edu,planetlab3.cs.uoregon.edu,252.225,441.42857142857144
planetlab2.cs.unc.edu,planetlab1.arizona-gigapop.net,1835.61,443
planetlab1.temple.edu,planetlab2.unr.edu,2346.81,443
planetlab2.cs.ucla.edu,planetlab1.cs.okstate.edu,1213.96,443.5
planetlabone.ccs.neu.edu,planetlab1.temple.edu,270.723,444.6666666666667
planetlab3.eecs.umich.edu,planetlab4.cs.uoregon.edu,1967.73,446
planetlab2.arizona-gigapop.net,planetlab1.cs.du.edu,613.476,448.3333333333333
pl3.cs.unm.edu,node1.planetlab.mathcs.emory.edu,1272.71,452
planetlab1.acis.ufl.edu,planetlab2.arizona-gigapop.net,1703.38,452.75
planetlab1.unr.edu,node1.planetlab.mathcs.emory.edu,1993.27,453
node2.planetlab.mathcs.emory.edu,planetlab02.cs.washington.edu,2179.38,456.6666666666667
planetlab2.cs.du.edu,planetlab2.cnis.nyit.edu,1646.66,462
pl3.cs.unm.edu,planetlab2.cs.du.edu,331.033,465
planetlab2.unr.edu,planetlab3.cnds.jhu.edu,2283.47,465.5
planetlab1.cs.unc.edu,planetlab-01.vt.nodes.planet-lab.org,117.005,465.5
planetlab2.unl.edu,planetlab2.cs.pitt.edu,874.778,467
planetlab3.eecs.umich.edu,planetlab2.cs.uoregon.edu,1967.73,473
planetlab3.eecs.umich.edu,planetlab3.cs.uoregon.edu,1967.73,473.6666666666667
planetlab2.citadel.edu,ebb.colgate.edu,733.032,474
planetlab3.wail.wisc.edu,planetlab2.unr.edu,1589.14,474
planet3.cc.gt.atl.ga.us,planetlab1.unr.edu,1989.75,475.8
planetlab2.citadel.edu,75-130-96-12.static.oxfr.ma.charter.com,791.667,477.5
planetlab1.unr.edu,planetlab3.cnds.jhu.edu,2283.47,478
planetlab2.arizona-gigapop.net,75-130-96-12.static.oxfr.ma.charter.com,2239.32,479.5
planet3.cc.gt.atl.ga.us,planetlab1.ucsd.edu,1888.91,481
planetlab3.wail.wisc.edu,planetlab1.unr.edu,1589.14,484
planetlab1.cs.unc.edu,node1.planetlab.mathcs.emory.edu,333.827,487
planetlab2.uta.edu,planetlab1.cnis.nyit.edu,1410.2,489
75-130-96-12.static.oxfr.ma.charter.com,planetlab1.cs.uml.edu,36.0409,490.42857142857144
planet3.cc.gt.atl.ga.us,planetlab01.cs.washington.edu,2176.62,490.75
planet3.cc.gt.atl.ga.us,planetlab2.unr.edu,1989.75,491.2857142857143
planetlab2.temple.edu,planetlabone.ccs.neu.edu,270.723,491.6666666666667
planetlab3.wail.wisc.edu,planetlab1.cs.unc.edu,739.774,492
node1.planetlab.mathcs.emory.edu,planetlab2.unr.edu,1993.27,492.5
planetlab1.unr.edu,node2.planetlab.mathcs.emory.edu,1993.27,493
planetlab2.arizona-gigapop.net,planetlab3.cnds.jhu.edu,1973.98,494
planetlab1.ucsd.edu,node2.planetlab.mathcs.emory.edu,1892.9,495
planetlab2.cs.pitt.edu,planetlab1.unr.edu,2093.1,495
planetlab4.cs.uoregon.edu,planetlab2.uta.edu,1598.03,496.6666666666667
planetlab3.cnds.jhu.edu,planetlab1.arizona-gigapop.net,1973.98,497
planetlabone.ccs.neu.edu,planetlab1.cnis.nyit.edu,171.184,497.6666666666667
planetlab1.cs.du.edu,planetlab2.cs.ucla.edu,838.534,498
planetlab2.arizona-gigapop.net,planetlab2.citadel.edu,1799.36,498
planetlab1.cs.du.edu,planetlab2.arizona-gigapop.net,613.476,498.5
planetlab2.acis.ufl.edu,planetlab1.ucsd.edu,2067.33,499
node2.planetlab.mathcs.emory.edu,planetlab2.unr.edu,1993.27,500
planetlab2.temple.edu,planetlab1.cs.okstate.edu,1218.48,501
planetlab1.cs.du.edu,planetlab1.cs.unc.edu,1433.75,501.6666666666667
node2.planetlab.mathcs.emory.edu,planetlab1.unr.edu,1993.27,501.75
planetlab-04.vt.nodes.planet-lab.org,salt.planetlab.cs.umd.edu,225.227,502
planetlab1.cs.okstate.edu,planetlab2.cs.uoregon.edu,1471.11,502
planetlab2.temple.edu,planetlab2.arizona-gigapop.net,2053.47,503
planetlab2.temple.edu,planetlab1.cs.du.edu,1574.28,504
planetlab2.cs.du.edu,planetlab1.arizona-gigapop.net,613.476,506.6666666666667
planetlab1.temple.edu,planetlab2.arizona-gigapop.net,2053.47,507.6666666666667
planetlab1.temple.edu,planetlab1.arizona-gigapop.net,2053.47,508
planet3.cc.gt.atl.ga.us,planetlab-01.vt.nodes.planet-lab.org,326.092,508.75
